OSEBuildingID,CouncilDistrictCode,Age,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking(%),PropertyGFABuilding(s)(%),LargestPropertyUseTypeGFA,ENERGYSTARScore,EnergyStarNaN,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(%),Electricity(%),NaturalGas(%),TotalGHGEmissions,GHGEmissionsIntensity,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Laboratory,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Office,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility
1,7,89,1.0,12,88434,0.0,100.0,88434.0,60.0,0,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,3946027.0,1276453.0,249.98,2.83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,20,1.0,11,103566,14.545314099221752,85.45468590077824,83880.0,61.0,0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,3242851.0,5145082.0,295.86,2.86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,47,1.0,41,956110,20.574829256047945,79.42517074395205,756493.0,43.0,0,96.0,97.69999695,241.8999939,244.1000061,72587024.0,73937112.0,21566554.0,49526664.0,1493800.0,2089.28,2.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,90,1.0,10,61320,0.0,100.0,61320.0,56.0,0,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,2768924.0,1811213.0,286.43,4.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,36,1.0,18,175580,35.311538899646884,64.68846110035311,123445.0,75.0,0,114.8000031,118.6999969,211.3999939,215.6000061,14172606.0,14656503.0,0.0,5368607.0,8803998.0,505.01,2.88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,17,1.0,2,97288,38.234931337883395,61.765068662116605,88830.0,0.0,1,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,7371434.0,4715182.0,301.81,3.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,7,90,1.0,11,83008,0.0,100.0,81352.0,27.0,0,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,2811215.0,2947580.0,176.14,2.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,90,1.0,8,102761,0.0,100.0,102761.0,0.0,1,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,3636655.0,385189.0,221.51,2.16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,7,112,1.0,15,163984,0.0,100.0,163984.0,43.0,0,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,7297919.0,6425900.0,392.16,2.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,7,47,1.0,11,153163,12.587243655452035,87.41275634454797,133884.0,30.0,0,119.5999985,124.3000031,228.1999969,233.0,16016644.0,16646930.0,5237165.5,6187627.0,4591850.0,691.26,4.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
